2026-08-28 02:09:01	skip-existing	0s	022_IFSCA publications__Draft Payment Services Regulations 2023.pdf
2026-08-28 02:09:01	skip-existing	0s	023_IFSCA publications__Onshore Innovation to GIFT IFSC.pdf
2026-08-28 02:09:01	skip-existing	0s	024_IFSCA publications__Listing Regulations Consultation 2024.pdf
2026-08-28 02:09:01	skip-existing	0s	026_IFSCA publications__Fund Management Brochure Dec 2025.pdf
2026-08-28 02:09:01	skip-existing	0s	027_IFSCA publications__Commodity Trading Hub Expert Committee.pdf
2026-08-28 02:09:01	skip-existing	0s	028_IFSCA publications__Fund Management Ecosystem Report Aug 2025.pdf
2026-08-28 02:10:30	converted	89s	029_IFSCA publications__Debt Market At IFSC FY2024-25.pdf
2026-08-28 02:10:59	converted	29s	030_IFSCA publications__IFSCA Funds Digital.pdf
2026-08-28 02:11:06	converted	7s	031_IFSCA publications__Global Securities Markets Conclave 2.0.pdf
2026-08-28 02:11:24	converted	18s	032_IFSCA publications__EY GIFT City Tax Benefits - IFSCA hosted.pdf
2026-08-28 02:18:54	converted	450s	033_ICSI__Paper 4.6 - IFSCA Regulations Listing And Compliances.pdf
2026-08-28 02:19:38	converted	44s	034_ICSI__Supplement Dec 2025.pdf
2026-08-28 02:21:23	converted	106s	035_ICSI__Supplement CMSL New Syllabus Dec 2025.pdf
2026-08-28 02:21:30	converted	6s	036_ICSI__ICSI Earlier IFSCA Note.pdf
2026-08-28 02:21:39	converted	9s	037_ICSI CSJ__CSJ July 2024 - IFSC overview.pdf
2026-08-28 02:21:52	converted	13s	038_ICSI CSJ__CSJ July 2024 - Payment Services Regulations.pdf
2026-08-28 02:22:06	converted	14s	039_ICSI CSJ__CSJ July 2024 - IIBX deep dive.pdf
2026-08-28 02:22:18	converted	12s	040_ICSI CSJ__CSJ July 2024 - ITFS GIFT setup.pdf
2026-08-28 02:22:32	converted	13s	041_ICSI CSJ__CSJ Jan 2025 - SGrBs at GIFT IFSC.pdf
2026-08-28 02:22:46	converted	14s	042_ICSI CSJ__CSJ May 2025 - ListingsSPACsESGLEAP.pdf
2026-08-28 02:22:52	converted	7s	043_ICSI CSJ__CSJ Jan 2026 - Transition BondsISSB S2.pdf
2026-08-28 02:23:07	converted	14s	044_ICSI Info Capsule__2025-03-27.pdf
2026-08-28 02:23:20	converted	13s	045_ICSI Info Capsule__2025-04-21.pdf
2026-08-28 02:23:31	converted	10s	046_ICSI Info Capsule__2025-06-30.pdf
2026-08-28 02:23:43	converted	12s	047_ICSI Info Capsule__2025-07-30.pdf
2026-08-28 02:23:56	converted	13s	048_ICSI Info Capsule__2025-08-07.pdf
2026-08-28 02:24:08	converted	11s	049_ICSI Info Capsule__2025-09-12.pdf
2026-08-28 02:24:18	converted	11s	050_ICSI Info Capsule__2025-09-22.pdf
2026-08-28 02:24:29	converted	10s	051_ICSI Info Capsule__2025-10-17.pdf
2026-08-28 02:24:40	converted	12s	052_ICSI Info Capsule__2025-10-27.pdf
2026-08-28 02:24:52	converted	12s	053_ICSI Info Capsule__2025-11-18.pdf
2026-08-28 02:25:04	converted	12s	054_ICSI Info Capsule__2025-11-28.pdf
2026-08-28 02:25:14	converted	11s	055_ICSI Info Capsule__2025-12-24.pdf
2026-08-28 02:25:26	converted	11s	056_ICSI Info Capsule__2026-01-01.pdf
2026-08-28 02:25:38	converted	12s	057_ICSI Info Capsule__2026-01-06.pdf
2026-08-28 02:25:47	converted	10s	058_ICSI Info Capsule__2026-01-12.pdf
2026-08-28 02:25:58	converted	11s	059_ICSI Info Capsule__2026-01-20.pdf
2026-08-28 02:26:10	converted	12s	060_ICSI Info Capsule__2026-01-27.pdf
2026-08-28 02:26:21	converted	11s	061_ICSI Info Capsule__2026-02-25.pdf
2026-08-28 02:27:23	converted	63s	062_ICSI Info Capsule__2026-03-10.pdf
2026-08-28 02:27:31	converted	8s	063_ICSI Info Capsule__2026-04-06.pdf
2026-08-28 02:27:39	converted	8s	064_ICSI Info Capsule__2026-04-15.pdf
2026-08-28 02:27:47	converted	8s	065_ICSI Info Capsule__2026-04-20.pdf
2026-08-28 02:28:10	converted	22s	066_PwC__Banking in GIFT IFSC.pdf
2026-08-28 02:28:30	converted	20s	067_PwC__Capital Markets in GIFT IFSC.pdf
2026-08-28 02:29:02	converted	32s	068_PwC__FinTech in GIFT IFSC - final v1.pdf
2026-08-28 02:29:59	converted	56s	069_PwC__FinTech in GIFT IFSC - earlier.pdf
2026-08-28 02:30:32	converted	34s	070_PwC__Asset And Wealth Management.pdf
2026-08-28 02:31:11	converted	38s	071_PwC__Ship Leasing.pdf
2026-08-28 02:31:36	converted	26s	072_PwC__Aircraft Leasing.pdf
2026-08-28 02:32:02	converted	26s	073_PwC__Aircraft Leasing - final v1.pdf
2026-08-28 02:32:29	converted	27s	074_PwC__Opportunities in GIFT IFSC 2024.pdf
2026-08-28 02:33:00	converted	31s	075_PwC__Moving the Needle on Gujarats GIFT City.pdf
2026-08-28 02:35:21	converted	141s	080_EY__GIFT City Advantage Dec 2025 - primary.pdf
2026-08-28 02:37:27	converted	127s	081_EY__GIFT City Advantage Dec 2025 - newsroom.pdf
2026-08-28 02:38:13	converted	46s	082_EY__GRCTCs India Advantage.pdf
2026-08-28 02:38:29	converted	16s	084_EY__FPI Trends 2024 Roundup.pdf
2026-08-28 02:38:45	converted	16s	085_EY__Union Budget 2024 FS Alert.pdf
2026-08-28 02:39:47	converted	62s	088_Grant Thornton__The World Inside IFSC GIFT City.pdf
2026-08-28 02:40:26	converted	39s	089_Grant Thornton__GIFT City IFSC Banking Perspective.pdf
2026-08-28 02:40:38	converted	13s	093_KPMG__BFSI FPI Newsletter Aug 2024.pdf
2026-08-28 02:40:53	converted	15s	094_KPMG__BFSI FPI Newsletter Jan 2025.pdf
2026-08-28 02:41:09	converted	16s	095_ixamBee__FME Regulations Study Notes.pdf
2026-08-28 02:41:22	converted	13s	096_EduTap__Phase 12 Study Material PDF.pdf
2026-08-28 02:41:53	converted	30s	097_IndiaCode__IFSCA Act 2019 current.pdf
2026-08-28 02:47:28	converted	335s	098_IFSCA publications__Annual Report 2024-25 English.pdf
2026-08-28 03:13:20	failed	1553s	099_IFSCA publications__Annual Report 2024-25 Bilingual.pdf
2026-08-28 13:00:14	skip-existing	0s	001_IFSCA career__20222023 Recruitment Notification.pdf
2026-08-28 13:00:14	skip-existing	0s	002_IFSCA career__2023 Phase 1 Exam Handout - General Stream.pdf
2026-08-28 13:00:14	skip-existing	0s	003_IFSCA career__2023 Phase 1 Results.pdf
2026-08-28 13:00:14	skip-existing	0s	004_IFSCA career__2023 Phase 2 Cut-off Marks.pdf
2026-08-28 13:00:14	skip-existing	0s	005_IFSCA career__2024 Vacancy Notification.pdf
2026-08-28 13:00:14	skip-existing	0s	006_IFSCA career__2025 Recruitment Notification.pdf
2026-08-28 13:00:14	skip-existing	0s	007_IFSCA career__2025 Phase 1 Call Letter Exam Handout.pdf
2026-08-28 13:00:14	skip-existing	0s	009_IFSCA career__2025 Phase 2 Legal Stream Marks.pdf
2026-08-28 13:00:14	skip-existing	0s	010_IFSCA career__2025 Phase 2 Interview Marks.pdf
2026-08-28 13:00:14	skip-existing	0s	011_IFSCA career__2025 Phase 2 Cutoff Declaration.pdf
2026-08-28 13:00:14	skip-existing	0s	013_IFSCA publications__Annual Report 2020-21.pdf
2026-08-28 13:05:19	converted	304s	014_IFSCA publications__Annual Report 2021-22.pdf
2026-08-28 13:05:19	skip-existing	0s	015_IFSCA publications__Annual Report 2022-23.pdf
2026-08-28 13:10:30	converted	311s	016_IFSCA publications__Annual Report 2023-24.pdf
2026-08-28 13:10:30	skip-existing	0s	017_IFSCA publications__Bulletin Apr-Jun 2024.pdf
2026-08-28 13:10:30	skip-existing	0s	018_IFSCA publications__Bulletin Jul-Sep 2024.pdf
2026-08-28 13:10:30	skip-existing	0s	019_IFSCA publications__Bulletin Oct-Dec 2024.pdf
2026-08-28 13:10:30	skip-existing	0s	020_IFSCA publications__Bulletin Jan-Mar 2025.pdf
2026-08-28 13:10:30	skip-existing	0s	021_IFSCA publications__RI Regulations Consultation 2023.pdf
2026-08-28 13:10:30	skip-existing	0s	022_IFSCA publications__Draft Payment Services Regulations 2023.pdf
2026-08-28 13:10:30	skip-existing	0s	023_IFSCA publications__Onshore Innovation to GIFT IFSC.pdf
2026-08-28 13:10:30	skip-existing	0s	024_IFSCA publications__Listing Regulations Consultation 2024.pdf
2026-08-28 13:10:30	skip-existing	0s	026_IFSCA publications__Fund Management Brochure Dec 2025.pdf
2026-08-28 13:10:30	skip-existing	0s	027_IFSCA publications__Commodity Trading Hub Expert Committee.pdf
2026-08-28 13:10:30	skip-existing	0s	028_IFSCA publications__Fund Management Ecosystem Report Aug 2025.pdf
2026-08-28 13:10:30	skip-existing	0s	029_IFSCA publications__Debt Market At IFSC FY2024-25.pdf
2026-08-28 13:10:30	skip-existing	0s	030_IFSCA publications__IFSCA Funds Digital.pdf
2026-08-28 13:10:30	skip-existing	0s	031_IFSCA publications__Global Securities Markets Conclave 2.0.pdf
2026-08-28 13:10:30	skip-existing	0s	032_IFSCA publications__EY GIFT City Tax Benefits - IFSCA hosted.pdf
2026-08-28 13:10:30	skip-existing	0s	033_ICSI__Paper 4.6 - IFSCA Regulations Listing And Compliances.pdf
2026-08-28 13:10:30	skip-existing	0s	034_ICSI__Supplement Dec 2025.pdf
2026-08-28 13:10:30	skip-existing	0s	035_ICSI__Supplement CMSL New Syllabus Dec 2025.pdf
2026-08-28 13:10:30	skip-existing	0s	036_ICSI__ICSI Earlier IFSCA Note.pdf
2026-08-28 13:10:30	skip-existing	0s	037_ICSI CSJ__CSJ July 2024 - IFSC overview.pdf
2026-08-28 13:10:30	skip-existing	0s	038_ICSI CSJ__CSJ July 2024 - Payment Services Regulations.pdf
2026-08-28 13:10:30	skip-existing	0s	039_ICSI CSJ__CSJ July 2024 - IIBX deep dive.pdf
2026-08-28 13:10:30	skip-existing	0s	040_ICSI CSJ__CSJ July 2024 - ITFS GIFT setup.pdf
2026-08-28 13:10:30	skip-existing	0s	041_ICSI CSJ__CSJ Jan 2025 - SGrBs at GIFT IFSC.pdf
2026-08-28 13:10:30	skip-existing	0s	042_ICSI CSJ__CSJ May 2025 - ListingsSPACsESGLEAP.pdf
2026-08-28 13:10:30	skip-existing	0s	043_ICSI CSJ__CSJ Jan 2026 - Transition BondsISSB S2.pdf
2026-08-28 13:10:30	skip-existing	0s	044_ICSI Info Capsule__2025-03-27.pdf
2026-08-28 13:10:30	skip-existing	0s	045_ICSI Info Capsule__2025-04-21.pdf
2026-08-28 13:10:30	skip-existing	0s	046_ICSI Info Capsule__2025-06-30.pdf
2026-08-28 13:10:30	skip-existing	0s	047_ICSI Info Capsule__2025-07-30.pdf
2026-08-28 13:10:30	skip-existing	0s	048_ICSI Info Capsule__2025-08-07.pdf
2026-08-28 13:10:30	skip-existing	0s	049_ICSI Info Capsule__2025-09-12.pdf
2026-08-28 13:10:30	skip-existing	0s	050_ICSI Info Capsule__2025-09-22.pdf
2026-08-28 13:10:30	skip-existing	0s	051_ICSI Info Capsule__2025-10-17.pdf
2026-08-28 13:10:30	skip-existing	0s	052_ICSI Info Capsule__2025-10-27.pdf
2026-08-28 13:10:30	skip-existing	0s	053_ICSI Info Capsule__2025-11-18.pdf
2026-08-28 13:10:30	skip-existing	0s	054_ICSI Info Capsule__2025-11-28.pdf
2026-08-28 13:10:30	skip-existing	0s	055_ICSI Info Capsule__2025-12-24.pdf
2026-08-28 13:10:30	skip-existing	0s	056_ICSI Info Capsule__2026-01-01.pdf
2026-08-28 13:10:30	skip-existing	0s	057_ICSI Info Capsule__2026-01-06.pdf
2026-08-28 13:10:30	skip-existing	0s	058_ICSI Info Capsule__2026-01-12.pdf
2026-08-28 13:10:30	skip-existing	0s	059_ICSI Info Capsule__2026-01-20.pdf
2026-08-28 13:10:30	skip-existing	0s	060_ICSI Info Capsule__2026-01-27.pdf
2026-08-28 13:10:30	skip-existing	0s	061_ICSI Info Capsule__2026-02-25.pdf
2026-08-28 13:10:30	skip-existing	0s	062_ICSI Info Capsule__2026-03-10.pdf
2026-08-28 13:10:30	skip-existing	0s	063_ICSI Info Capsule__2026-04-06.pdf
2026-08-28 13:10:30	skip-existing	0s	064_ICSI Info Capsule__2026-04-15.pdf
2026-08-28 13:10:30	skip-existing	0s	065_ICSI Info Capsule__2026-04-20.pdf
2026-08-28 13:10:30	skip-existing	0s	066_PwC__Banking in GIFT IFSC.pdf
2026-08-28 13:10:30	skip-existing	0s	067_PwC__Capital Markets in GIFT IFSC.pdf
2026-08-28 13:10:30	skip-existing	0s	068_PwC__FinTech in GIFT IFSC - final v1.pdf
2026-08-28 13:10:30	skip-existing	0s	069_PwC__FinTech in GIFT IFSC - earlier.pdf
2026-08-28 13:10:30	skip-existing	0s	070_PwC__Asset And Wealth Management.pdf
2026-08-28 13:10:30	skip-existing	0s	071_PwC__Ship Leasing.pdf
2026-08-28 13:10:30	skip-existing	0s	072_PwC__Aircraft Leasing.pdf
2026-08-28 13:10:30	skip-existing	0s	073_PwC__Aircraft Leasing - final v1.pdf
2026-08-28 13:10:30	skip-existing	0s	074_PwC__Opportunities in GIFT IFSC 2024.pdf
2026-08-28 13:10:30	skip-existing	0s	075_PwC__Moving the Needle on Gujarats GIFT City.pdf
2026-08-28 13:10:30	skip-existing	0s	080_EY__GIFT City Advantage Dec 2025 - primary.pdf
2026-08-28 13:10:30	skip-existing	0s	081_EY__GIFT City Advantage Dec 2025 - newsroom.pdf
2026-08-28 13:10:30	skip-existing	0s	082_EY__GRCTCs India Advantage.pdf
2026-08-28 13:10:30	skip-existing	0s	084_EY__FPI Trends 2024 Roundup.pdf
2026-08-28 13:10:30	skip-existing	0s	085_EY__Union Budget 2024 FS Alert.pdf
2026-08-28 13:10:30	skip-existing	0s	088_Grant Thornton__The World Inside IFSC GIFT City.pdf
2026-08-28 13:10:30	skip-existing	0s	089_Grant Thornton__GIFT City IFSC Banking Perspective.pdf
2026-08-28 13:10:30	skip-existing	0s	093_KPMG__BFSI FPI Newsletter Aug 2024.pdf
2026-08-28 13:10:30	skip-existing	0s	094_KPMG__BFSI FPI Newsletter Jan 2025.pdf
2026-08-28 13:10:30	skip-existing	0s	095_ixamBee__FME Regulations Study Notes.pdf
2026-08-28 13:10:30	skip-existing	0s	096_EduTap__Phase 12 Study Material PDF.pdf
2026-08-28 13:10:30	skip-existing	0s	097_IndiaCode__IFSCA Act 2019 current.pdf
2026-08-28 13:10:30	skip-existing	0s	098_IFSCA publications__Annual Report 2024-25 English.pdf
2026-08-28 13:12:25	converted	116s	099_IFSCA publications__Annual Report 2024-25 Bilingual.pdf
2026-08-28 13:12:47	converted	21s	100_IFSCA publications__Bulletin Apr-Jun 2025.pdf
2026-08-28 13:14:39	converted	113s	101_IFSCA publications__Bulletin Jul-Sep 2025.pdf
2026-08-28 13:16:15	converted	95s	102_IFSCA publications__Bulletin Oct-Dec 2025.pdf
2026-08-28 13:16:53	converted	39s	103_IFSCA TAS__Draft Regulations May 2025.pdf
